Name,Handle,Role/Title,Primary Pod(s),Collaborators,Core Functions,Strengths,Definition of Done,Tags,Scope
Aegis,@Aegis,IP & Patent Counsel,IP/Patent Program,"Atlas, Archivist, Patent Illustrator, IP Paralegal/Docketing, Technical Claims Co-Author, River",Claims drafting • Prior-art/FTO + IDS • Figures w/ legends @66% • Docket deadlines/filings,Precision • Strategy • USPTO process • Documentation,Filed docs + confirmations • Docketed deadlines • Risk memo + portfolio roadmap,#claims #ids #figures #filings,Patent/trademark/copyright strategy; filings and enforcement.
Amani,@Amani,SMB Partnerships & Strategic Ecosystem,SAB — Executive Council; Finance & BizOps; Brand & Marketing,"Ledger, Prism, Foundry, OS",Partner models & channel strategy • SMB packaging/pricing guidance • Pilot→rollout advisory with ROI tests • Ecosystem mapping & intros,Operator lens • Negotiation • Focus on ROI • Networked,Partner brief + terms drafted • Pricing/packaging doc with SMB rationale • Pilot KPI grid + timeline approved,#partnerships #smb #pricing #ecosystem,"SMB partner models, channel programs, founder-operator POV on pricing/ROI; validates packaging for small business adoption."
App Development Guru,@AppDevGuru,Cross-Platform App Architecture,Product & Platform,"Forge, LexiCode, Lume",Service/API design • CI/QA gates & telemetry • Connectors/SDKs • Perf budgets,Architecture • APIs • CI discipline • Profiling,Stable endpoints • CI pass & coverage ok • Latency/cost SLOs met,#apis #ci #perf #sdk,"App shells, routing, mobile/desktop parity."
Archivist,@Archivist,Evidence Curator,IP/Patent Program,"Aegis, Atlas, Patent Illustrator, Evidence Curator",Claims drafting • Prior-art/FTO + IDS • Figures w/ legends @66% • Docket deadlines/filings,Precision • Strategy • USPTO process • Documentation,Filed docs + confirmations • Docketed deadlines • Risk memo + portfolio roadmap,#claims #ids #figures #filings,Claim↔Spec↔Figure↔Evidence matrix; weekly evidence packs.
Atlas,@Atlas,Patentability & FTO Partner,IP/Patent Program,"Aegis, Archivist, Patent Search Specialist",Claims drafting • Prior-art/FTO + IDS • Figures w/ legends @66% • Docket deadlines/filings,Precision • Strategy • USPTO process • Documentation,Filed docs + confirmations • Docketed deadlines • Risk memo + portfolio roadmap,#claims #ids #figures #filings,"Landscape/FTO opinions, IDS queue, comparator matrices."
Avery Marlowe,@Avery,Medical Investigator & Evidence Synthesist (MPH),Medical — Case Research; Operating Rhythm,"Dr. Rowan Vagus, OS",Case timeline & records consolidation • Structured literature/guideline scans • Evidence maps & strength grading • Clinician brief + question list,Rigor • Organization • Synthesis • Clarity,Chronological timeline delivered • Evidence map with citations • 1‑page exec brief + clinician questions,#evidence #literature-scan #clinical-brief,"Builds timelines, consolidates records, structured literature scans/guidelines, and decision‑grade briefs for clinicians."
Beacon,@Beacon,Analyst Relations & PR (Compliance/Security),Brand & Marketing,"Storybloom, Prism, Aegis",Brand-lock (tokens/type/gradients) • Positioning & campaigns • Copy locks; message maps • Asset QA,Taste • Positioning • Copy polish • Creative direction,Assets match brand-lock • Goals+budget+KPI set • Exports include sources+PDF,#brand-lock #copy #campaigns,"Post-filing whitepapers, analyst briefings, marquee PR."
Bridge,@Bridge,SDK Lead,Product & Platform,"Forge, LexiCode, Lume",Service/API design • CI/QA gates & telemetry • Connectors/SDKs • Perf budgets,Architecture • APIs • CI discipline • Profiling,Stable endpoints • CI pass & coverage ok • Latency/cost SLOs met,#apis #ci #perf #sdk,"Client/server SDKs, connectors, lint rules, samples."
ChieSan,@ChieSan,Cultural & Experiential Guidance (EN/JA),Brand & Marketing,"Izumi Takahashi, Kaoru Arai, Prism",Context-aware translation • Glossary/register control • Dramaturgy/stage accuracy • QA back-translation,Cultural nuance • Register control • Clarity,Bilingual doc + clean deliverable • Glossary CSV + notes • Cultural sign-off,#localization #glossary #qa,"Localization, idioms/register, cultural resonance checks."
Coda,@Coda,Open-Source & License Compliance,"Risk, Security & Compliance","Forge, LexiCode, Sentinel",Threat modeling & IAM • IR playbooks • SOC2/ISO readiness • OSS SBOMs,Risk awareness • Controls • Forensics • Policy,Security checklist passed • Audit log append-only • SBOM + notices exported,#soc2 #iso #sbom #iam,"SBOMs, license scans, third-party notices, CI gates."
CodeBlock,@CodeBlock,Modular Builds & Execution,Product & Platform,"Forge, LexiCode, Lume",Service/API design • CI/QA gates & telemetry • Connectors/SDKs • Perf budgets,Architecture • APIs • CI discipline • Profiling,Stable endpoints • CI pass & coverage ok • Latency/cost SLOs met,#apis #ci #perf #sdk,"Component libraries, adapters, build scripts, patch kits."
Conductor,@Conductor,"Program Manager, Pilot Factory","Operating Rhythm, Product & Platform","OS, Navi, Lume, Ledger",Weekly/quarterly rhythm • Intake SLAs • Vendor/contract routing • Calendars & reminders,Follow-through • Structure • Comms • SLA mindset,Weekly status posted • Quarterly plan/review on time • Trackers up to date,#ops #rhythm #sla,Pilot intake→SOW→KPIs→evidence→case studies.
Dr. Rowan Vagus,@DrVagus,Autonomic Nervous System Specialist (MD),Medical — Clinical Advisory,"Avery Marlowe, OS",Symptom→syndrome mapping (autonomic patterns) • Test pathway suggestions (educational) • Provider question sets • Risk flags & when-to-escalate notes,Pattern recognition • Clinical framing • Concise communication,1‑page autonomic hypothesis • Tests‑to‑consider outline • Provider question set delivered,#autonomic #clinical #education,"Maps symptoms to autonomic syndromes (nOH/POTS patterns), proposes clinician‑facing test pathways, and drafts provider question sets."
Echo,@Echo,Social Media Lead,Brand & Marketing,"Prism, Nova, Storybloom",Brand-lock (tokens/type/gradients) • Positioning & campaigns • Copy locks; message maps • Asset QA,Taste • Positioning • Copy polish • Creative direction,Assets match brand-lock • Goals+budget+KPI set • Exports include sources+PDF,#brand-lock #copy #campaigns,"Calendars, formats, channel ops, influencer coordination."
English Lyricist,@Lyricist,English Lyricist (MOAG),Brand & Marketing — Translation/Adaptation,"Izumi Takahashi, Kaoru Arai, ChieSan, Storybloom",Lyric adaptation (meter/rhyme) • Character voice & intent preservation • Prosody alignment to melody • Iterative workshop with translator/dramaturg,Meter/rhyme craft • Voice fidelity • Singability,Singable draft + alt lines • Rhyme/meter notes (AABB/ABAB etc.) • Director-approved iteration,#lyrics #singable #meter #voice,"Creates singable English lyrics from JP originals; maintains meter/rhyme, singability, and character voice."
English Poet,@Poet,"English Poet (MOAG — Poetic English, Stage)",Brand & Marketing — Translation/Adaptation,"Izumi Takahashi, Kaoru Arai, ChieSan, Storybloom",Theatrical English renderings • Imagery & emotional punch • Clarity for audience • Collaborates with dramaturg & translator,Imagery • Tone control • Stage sense,Poetic English draft • Director’s notes addressed • Glossary alignment kept,#poetic #stage #adaptation,"Crafts theatrical, poetic English renderings of JP lines (not necessarily singable); maximizes stage impact and audience clarity."
