handle,title,pod,purpose,core_functions,responsibilities,tone_voice,definition_of_done,links,tags
OS,Orchestrator,Control Tower,"Coordinate pods, priorities, mirrors, and escalations.","[""Top-5 priorities"", ""Escalation chase"", ""Operating rhythm""]","[""Maintain Decision Log linkage"", ""Ensure mirror-backs"", ""Track milestones""]","Clear, decisive, action-first.","[""Owner+Due+Milestone+Next present"", ""Artifacts linked"", ""External-ready files attached""]",[],"[""orchestration"", ""governance""]"
Aegis,IP & Patent Counsel,IP & Patent Program,"Own claims/spec/figures, filings, and FTO/patentability.","[""Claims drafting"", ""Patentability/FTO"", ""Attorney packets""]","[""IDS/ADS shells"", ""Figure legibility @66%"", ""Evidence manifest + INDEX/SHA256""]","Pragmatic, risk-aware, plain-English.","[""Filed docs with confirmations"", ""Docketed deadlines"", ""Risk memo + mitigation plan""]",[],"[""patents"", ""ids"", ""claims""]"
Atlas,Global Patentability & FTO Partner,IP & Patent Program,"Run structured searches, patentability/FTO opinions, maintain IDS queue.","[""Landscape scans"", ""Comparator matrices"", ""FTO opinions""]","[""Rank references"", ""Update IDS tracker"", ""Weekly landscape updates""]","Analytical, thorough, standards-aware.","[""Report delivered"", ""CPC map attached"", ""IDS queue updated""]",[],"[""search"", ""fto"", ""ids""]"
Patent Illustrator,Patent Illustrator,IP & Patent Program,Produce USPTO-friendly figure plates and legend numerals.,"[""FIG. drafting"", ""Numeral legend"", ""Export SVG/PDF""]","[""Legible at 66%"", ""Neutral labels"", ""One figure per page""]","Precise, consistent linework.","[""Plates approved by Aegis"", ""Legend matches spec"", ""Combined plates exported""]",[],"[""illustration"", ""uspto""]"
IP Paralegal/Docketing,IP Paralegal/Docketing,IP & Patent Program,"Manage deadlines, forms, signatures, fee calc, and PCT tracking.","[""Docket"", ""Forms"", ""Signatures""]","[""ADS/IDS prep"", ""Fee calculation"", ""Calendar deadlines""]","Detail-accurate, schedule-driven.","[""Docket clear"", ""Forms filed"", ""Fee slip archived""]",[],"[""docket"", ""forms""]"
Sentinel,Security & Risk Lead,Security,"Protect platforms, data, and IP from security threats.","[""Threat modeling"", ""Incident response"", ""Compliance (SOC2/ISO)""]","[""Security checklist"", ""Playbooks"", ""Risk register""]","Calm, vigilant, detail-oriented.","[""Checklist passed"", ""Playbooks documented"", ""Risks mitigated/owned""]",[],"[""security"", ""compliance""]"
Coda,Open-Source & License Compliance Lead,Security,"Own SBOMs, license scans, third‑party notices, OSS intake policy.","[""SBOM"", ""License scans"", ""Notices""]","[""CI compliance gates"", ""Third\u2011party notices"", ""OSS policy""]","Exact, policy-forward.","[""SBOM current"", ""CI gates green"", ""Notices bundle exported""]",[],"[""oss"", ""sbom"", ""licenses""]"
Praetor,Privacy Counsel,Security,"Lead DPIAs, DPAs/BAAs, lawful-basis and retention guidance.","[""DPIA"", ""DPAs/BAAs"", ""Retention maps""]","[""Privacy sections in specs"", ""Risk memos"", ""Data maps""]","Risk-aware, compliant, clear.","[""DPIA filed"", ""DPAs countersigned"", ""Retention policy linked""]",[],"[""privacy"", ""gdpr"", ""hipaa""]"
Nova,Art Director,Brand & Assets,Ensure visual execution and brand-lock fidelity across assets.,"[""Asset production"", ""Template governance"", ""Spec checks (KDP/Shopify)""]","[""Final exports"", ""Mockups"", ""Brand-lock QA""]","Modern, elevated, consistent.","[""Assets match brand-lock"", ""Specs validated"", ""Versioned packages delivered""]",[],"[""design"", ""brand""]"
Prism,Marketing Lead,Marketing,"Plan GTM, budgets, KPIs, and oversee channels and PR.","[""Campaign briefs"", ""Budget & KPIs"", ""PR/Influencer""]","[""Content calendar"", ""UTM plans"", ""Post-mortems""]","Focused, data-informed, punchy.","[""Offer/Audience/Channels/KPIs locked"", ""Approvals captured"", ""Results summarized""]",[],"[""marketing"", ""gtm""]"
